"","Timestamp","close","high","low","trade_count","open","Volume","vwap","Date","Time"
"1",2016-01-01 09:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"09:00:00"
"2",2016-01-01 10:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"10:00:00"
"3",2016-01-01 11:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"11:00:00"
"4",2016-01-01 12:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"12:00:00"
"5",2016-01-01 13:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"13:00:00"
"6",2016-01-01 14:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"14:00:00"
"7",2016-01-01 15:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"15:00:00"
"8",2016-01-01 16:00:00,NA,NA,NA,NA,NA,0,NA,2016-01-01,"16:00:00"
"9",2016-01-04 09:00:00,200.5,200.65,199.98,1460,200.29,969105,200.372248,2016-01-04,"09:00:00"
"10",2016-01-04 10:00:00,200.34,200.86,200.07,3161,200.5,1506458,200.626708,2016-01-04,"10:00:00"
"11",2016-01-04 11:00:00,200.22,200.56,199.59,87707,200.35,26683674,200.676549,2016-01-04,"11:00:00"
"12",2016-01-04 12:00:00,199.14,200.32,199.11,124172,200.22,35440839,200.74027,2016-01-04,"12:00:00"
"13",2016-01-04 13:00:00,199.38,199.59,198.59,115632,199.15,34928599,200.2118,2016-01-04,"13:00:00"
"14",2016-01-04 14:00:00,199.7901,200,199.14,61880,199.39,21539358,200.405486,2016-01-04,"14:00:00"
"15",2016-01-04 15:00:00,199.91,200.28,199.69,56262,199.8,20689251,201.223234,2016-01-04,"15:00:00"
"16",2016-01-04 16:00:00,199.6,200.16,199.32,58764,199.91,19738607,200.649141,2016-01-04,"16:00:00"
"17",2016-01-05 09:00:00,200.54,200.54,200.03,679,200.36,401328,200.251294,2016-01-05,"09:00:00"
"18",2016-01-05 10:00:00,201.31,202.225,199.93,2386,199.93,1432685,201.068543,2016-01-05,"10:00:00"
"19",2016-01-05 11:00:00,200.92,201.8,200.89,55447,201.3,12533492,201.406195,2016-01-05,"11:00:00"
"20",2016-01-05 12:00:00,201.3099,201.49,200.35,67989,200.92,14264157,200.873808,2016-01-05,"12:00:00"
